epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1237.45,0.28561,0.96665,1,0.07872,0.000555503,0.000555503,0.000555503
2,2426.39,0.15659,0.98888,1,0.03071,0.00056114,0.00056114,0.00056114
